"GYARTMANY_NEV";"GYARTMANY_KOD";"TIPUS_NEV";"TIPUS_KOD";"FAJTA_NEV";"FAJTA_KOD"
"FISHER HOLIVAN";"10668";"CARAVAN";"42847";"Pótkocsi";"6"
"FISHER HOLIVAN";"10668";"G.FISCHER GUENZBURG 877";"42848";"Pótkocsi";"6"
"FISHER HOLIVAN";"10668";"12";"42846";"Pótkocsi";"6"
"FISKER";"12131";"400";"59991";"Pótkocsi";"6"
"FITOS";"7500";"FA-140";"34804";"Pótkocsi";"6"
"FIT-ZEL";"10669";"DUO 3500";"42849";"Pótkocsi";"6"
"FIT-ZEL";"10669";"EURO 00";"42850";"Pótkocsi";"6"
"FIT-ZEL";"10669";"EURO 1800";"66628";"Pótkocsi";"6"
"FIT-ZEL";"10669";"EURO 19-19";"42851";"Pótkocsi";"6"
"FIT-ZEL";"10669";"EURO 20-19";"42852";"Pótkocsi";"6"
"FIT-ZEL";"10669";"EURO 20-20 N 41";"42853";"Pótkocsi";"6"
"FIT-ZEL";"10669";"EURO 22-00 ZW";"60215";"Pótkocsi";"6"
"FIT-ZEL";"10669";"EURO 25-19";"42854";"Pótkocsi";"6"
"FIT-ZEL";"10669";"EURO 25-20";"42855";"Pótkocsi";"6"
"FIT-ZEL";"10669";"EURO 27-20/41";"42856";"Pótkocsi";"6"
"FIT-ZEL";"10669";"EURO 27-20/48 ZW";"57516";"Pótkocsi";"6"
"FIT-ZEL";"10669";"EURO 30-20";"42857";"Pótkocsi";"6"
"FIT-ZEL";"10669";"EURO 35";"42858";"Pótkocsi";"6"
"FIT-ZEL";"10669";"MULTITRAILER RALLY";"42859";"Pótkocsi";"6"
"FIT-ZEL";"10669";"MULTITRAILER STANDARD";"42860";"Pótkocsi";"6"
"FIT-ZEL";"10669";"MULTITRAILER ZWILLING";"63569";"Pótkocsi";"6"
"FIT-ZEL";"10669";"PIONER 1604 ABD";"42861";"Pótkocsi";"6"
"FIT-ZEL";"10669";"PIONIER 1304 ABW";"42862";"Pótkocsi";"6"
"FIT-ZEL";"10669";"WALTER TRAILER";"42863";"Pótkocsi";"6"
"FITZEL ZWEILL.";"7501";"9 F 5510";"34805";"Pótkocsi";"6"
"FIZL";"7502";"II.1673/J/00";"34806";"Pótkocsi";"6"
"FKF RT.";"7503";"KL-3500";"34819";"Pótkocsi";"6"
"FKM";"11970";"AB 10,5 TB";"58293";"Pótkocsi";"6"
"FLAG";"12337";"SLI 26DS";"61939";"Pótkocsi";"6"
"FLAISZ";"7504";"FG-250";"34824";"Pótkocsi";"6"
"FLAK";"7505";"FA 5375";"34825";"Pótkocsi";"6"
"FLAMINGO";"7506";"PAAV/SR-13";"61215";"Pótkocsi";"6"
"FLAMINGO";"7506";"TRAILL X-200";"34828";"Pótkocsi";"6"
"FLAMINGO";"7506";"TRALL PC";"63314";"Pótkocsi";"6"
"FLAMINGO";"7506";"VX-121";"34829";"Pótkocsi";"6"
"FLAMINGO";"7506";"420 DD";"34826";"Pótkocsi";"6"
"FLAMINGO";"7506";"606";"34827";"Pótkocsi";"6"
"FLASKAY";"7507";"FB-1869";"34830";"Pótkocsi";"6"
"FLECHE LUMINEUSE";"7508";"RABATTEMENT";"34831";"Pótkocsi";"6"
"FLEETWOOD";"12315";"CRYSTAL";"66321";"Pótkocsi";"6"
"FLEETWOOD";"12315";"WILDERNESS";"61741";"Pótkocsi";"6"
"FLEUR DE LYS";"10670";"2 AXLE RIDIG BUDY";"42864";"Tehergépkocsi";"2"
"FLEX";"7509";"1508";"34832";"Pótkocsi";"6"
"FLEX";"7509";"400/95";"34833";"Pótkocsi";"6"
"FLIEGEL";"7510";"DK-110";"34834";"Pótkocsi";"6"
"FLIEGEL";"7510";"DK-130";"34835";"Pótkocsi";"6"
"FLIEGEL";"7510";"DK-140";"34836";"Pótkocsi";"6"
"FLIEGEL";"7510";"DK-180";"34837";"Pótkocsi";"6"
"FLIEGEL";"7510";"DK-240";"34838";"Pótkocsi";"6"
"FLIEGEL";"7510";"EDK-100";"34839";"Pótkocsi";"6"
"FLIEGEL";"7510";"EDK-60";"34840";"Pótkocsi";"6"
"FLIEGEL";"7510";"SDS-350";"34841";"Pótkocsi";"6"
"FLIEGEL";"7510";"SDS-400";"34842";"Pótkocsi";"6"
"FLIEGEL";"7510";"SDS-470/T";"34843";"Pótkocsi";"6"
"FLIEGEL";"7510";"SDS-580/T";"34844";"Pótkocsi";"6"
"FLIEGEL";"7510";"TDK-100";"34845";"Pótkocsi";"6"
"FLIEGEL";"7510";"TDK-130";"34846";"Pótkocsi";"6"
"FLIEGEL";"7510";"TDK-180";"34847";"Pótkocsi";"6"
"FLIEGEL";"7510";"TMK-180";"34848";"Pótkocsi";"6"
"FLIEGEL";"7510";"VFWFLI-600004";"34851";"Pótkocsi";"6"
"FLIEGEL";"7510";"VFW-25.0";"34849";"Pótkocsi";"6"
"FLIEGEL";"7510";"VFW-3000";"34850";"Pótkocsi";"6"
"FLIEGEL";"7510";"ZPS-180";"34852";"Pótkocsi";"6"
"FLIEGEL";"7510";"ZVP-180";"34853";"Pótkocsi";"6"
"FLIEGERGRUPPE";"7511";"H 201/B";"34854";"Pótkocsi";"6"
"FLIEGL";"7512";"ASS-399";"62774";"Pótkocsi";"6"
"FLIEGL";"7512";"ASW";"65587";"Pótkocsi";"6"
"FLIEGL";"7512";"ASW 160";"34856";"Pótkocsi";"6"
"FLIEGL";"7512";"ASW-110";"62530";"Pótkocsi";"6"
"FLIEGL";"7512";"ASW-140";"64107";"Pótkocsi";"6"
"FLIEGL";"7512";"ASW-253";"34857";"Pótkocsi";"6"
"FLIEGL";"7512";"ASW-258";"34858";"Pótkocsi";"6"
"FLIEGL";"7512";"ASW-268";"34859";"Pótkocsi";"6"
"FLIEGL";"7512";"ASW-270";"34860";"Pótkocsi";"6"
"FLIEGL";"7512";"ASW-288";"34861";"Pótkocsi";"6"
"FLIEGL";"7512";"ASW-488";"34862";"Pótkocsi";"6"
"FLIEGL";"7512";"ASW-493";"60528";"Pótkocsi";"6"
"FLIEGL";"7512";"BAC-35";"34863";"Pótkocsi";"6"
"FLIEGL";"7512";"DDK-240";"57692";"Pótkocsi";"6"
"FLIEGL";"7512";"DF-7";"34864";"Pótkocsi";"6"
"FLIEGL";"7512";"DHKA 390";"61467";"Pótkocsi";"6"
"FLIEGL";"7512";"DHKA-350";"34865";"Pótkocsi";"6"
"FLIEGL";"7512";"DHKS-340";"34866";"Pótkocsi";"6"
"FLIEGL";"7512";"DHKS-350";"34867";"Pótkocsi";"6"
"FLIEGL";"7512";"DK-100";"34868";"Pótkocsi";"6"
"FLIEGL";"7512";"DK-110";"34869";"Pótkocsi";"6"
"FLIEGL";"7512";"DK-130";"34870";"Pótkocsi";"6"
"FLIEGL";"7512";"DK-140";"34871";"Pótkocsi";"6"
"FLIEGL";"7512";"DK-150";"62096";"Pótkocsi";"6"
"FLIEGL";"7512";"DK-180";"34872";"Pótkocsi";"6"
"FLIEGL";"7512";"DK-240";"34873";"Pótkocsi";"6"
"FLIEGL";"7512";"DK-40";"34874";"Pótkocsi";"6"
"FLIEGL";"7512";"DK-60";"34875";"Pótkocsi";"6"
"FLIEGL";"7512";"DK-80";"34876";"Pótkocsi";"6"
"FLIEGL";"7512";"DOLLY-ACHSE";"60326";"Pótkocsi";"6"
"FLIEGL";"7512";"DOLLY-ASS";"62772";"Pótkocsi";"6"
"FLIEGL";"7512";"DPS-240";"34877";"Pótkocsi";"6"
"FLIEGL";"7512";"DPW-180";"66479";"Pótkocsi";"6"
"FLIEGL";"7512";"DPW-240";"63358";"Pótkocsi";"6"
"FLIEGL";"7512";"DSK-240";"34878";"Pótkocsi";"6"
"FLIEGL";"7512";"DSK-242";"34879";"Pótkocsi";"6"
"FLIEGL";"7512";"DTS-240";"34880";"Pótkocsi";"6"
"FLIEGL";"7512";"DTS-300";"34881";"Pótkocsi";"6"
"FLIEGL";"7512";"EDK-100";"63203";"Pótkocsi";"6"
"FLIEGL";"7512";"EDK-20";"34882";"Pótkocsi";"6"
"FLIEGL";"7512";"EDK-25";"34883";"Pótkocsi";"6"
"FLIEGL";"7512";"EDK-40";"34884";"Pótkocsi";"6"
"FLIEGL";"7512";"EDK-50";"34885";"Pótkocsi";"6"
"FLIEGL";"7512";"EDK-60";"34886";"Pótkocsi";"6"
"FLIEGL";"7512";"EDK-80";"34887";"Pótkocsi";"6"
"FLIEGL";"7512";"EMK 110";"66303";"Pótkocsi";"6"
"FLIEGL";"7512";"ERK-40";"58167";"Pótkocsi";"6"
"FLIEGL";"7512";"FOX TMK 160";"34888";"Pótkocsi";"6"
"FLIEGL";"7512";"HKS-24";"34889";"Pótkocsi";"6"
"FLIEGL";"7512";"PZS-200";"34890";"Pótkocsi";"6"
"FLIEGL";"7512";"SDS 350";"34891";"Pótkocsi";"6"
"FLIEGL";"7512";"SDS 350 T";"59605";"Pótkocsi";"6"
"FLIEGL";"7512";"SDS-325";"34892";"Pótkocsi";"6"
"FLIEGL";"7512";"SDS-330";"34893";"Pótkocsi";"6"
"FLIEGL";"7512";"SDS-380";"34894";"Pótkocsi";"6"
"FLIEGL";"7512";"SDS-390";"63800";"Pótkocsi";"6"
"FLIEGL";"7512";"SDS-400";"34895";"Pótkocsi";"6"
"FLIEGL";"7512";"SDS-410";"34896";"Pótkocsi";"6"
"FLIEGL";"7512";"SDS-440/T";"34897";"Pótkocsi";"6"
"FLIEGL";"7512";"SDS-470";"34898";"Pótkocsi";"6"
"FLIEGL";"7512";"SDS-480 T";"58569";"Pótkocsi";"6"
"FLIEGL";"7512";"SDS-580";"34899";"Pótkocsi";"6"
"FLIEGL";"7512";"SES-180";"58585";"Pótkocsi";"6"
"FLIEGL";"7512";"SFW 22";"62224";"Pótkocsi";"6"
"FLIEGL";"7512";"SFW 25";"61758";"Pótkocsi";"6"
"FLIEGL";"7512";"SVS 570";"62203";"Pótkocsi";"6"
"FLIEGL";"7512";"SVS 580";"34900";"Pótkocsi";"6"
"FLIEGL";"7512";"SZS 200";"59818";"Pótkocsi";"6"
"FLIEGL";"7512";"SZS-270";"62717";"Pótkocsi";"6"
"FLIEGL";"7512";"SZS-350";"34901";"Pótkocsi";"6"
"FLIEGL";"7512";"TDK-100";"34903";"Pótkocsi";"6"
"FLIEGL";"7512";"TDK-110";"34904";"Pótkocsi";"6"
"FLIEGL";"7512";"TDK-140";"34905";"Pótkocsi";"6"
"FLIEGL";"7512";"TDK-160";"34906";"Pótkocsi";"6"
"FLIEGL";"7512";"TDK-180";"34907";"Pótkocsi";"6"
"FLIEGL";"7512";"TDK-250";"34908";"Pótkocsi";"6"
"FLIEGL";"7512";"TDK-80";"34909";"Pótkocsi";"6"
"FLIEGL";"7512";"TKF 100 - THERMOSOL";"64035";"Pótkocsi";"6"
"FLIEGL";"7512";"TKF-135";"34910";"Pótkocsi";"6"
"FLIEGL";"7512";"TKF-180";"34911";"Pótkocsi";"6"
"FLIEGL";"7512";"TMK 160";"59559";"Pótkocsi";"6"
"FLIEGL";"7512";"TMK-110";"65667";"Pótkocsi";"6"
"FLIEGL";"7512";"TMK-200";"34912";"Pótkocsi";"6"
"FLIEGL";"7512";"TMK-240";"34913";"Pótkocsi";"6"
"FLIEGL";"7512";"TMK-271";"65506";"Pótkocsi";"6"
"FLIEGL";"7512";"TMK-273";"34914";"Pótkocsi";"6"
"FLIEGL";"7512";"TMK-371";"66910";"Pótkocsi";"6"
"FLIEGL";"7512";"TPS 200";"59606";"Pótkocsi";"6"
"FLIEGL";"7512";"TPS 240";"59919";"Pótkocsi";"6"
"FLIEGL";"7512";"TPS-100";"34915";"Pótkocsi";"6"
"FLIEGL";"7512";"TPS-118";"61793";"Pótkocsi";"6"
"FLIEGL";"7512";"TPS-120";"60727";"Pótkocsi";"6"
"FLIEGL";"7512";"TPS-135";"34916";"Pótkocsi";"6"
"FLIEGL";"7512";"TPS-160";"34917";"Pótkocsi";"6"
"FLIEGL";"7512";"TPS-180";"65351";"Pótkocsi";"6"
"FLIEGL";"7512";"TPS-270";"65647";"Pótkocsi";"6"
"FLIEGL";"7512";"TPS-45";"34918";"Pótkocsi";"6"
"FLIEGL";"7512";"TPS-60";"34919";"Pótkocsi";"6"
"FLIEGL";"7512";"TPS-75";"34920";"Pótkocsi";"6"
"FLIEGL";"7512";"TPS-89";"58221";"Pótkocsi";"6"
"FLIEGL";"7512";"TSK-100";"34921";"Pótkocsi";"6"
"FLIEGL";"7512";"TSK-118";"57568";"Pótkocsi";"6"
"FLIEGL";"7512";"TSK-180";"34922";"Pótkocsi";"6"
"FLIEGL";"7512";"TTS-100";"34923";"Pótkocsi";"6"
"FLIEGL";"7512";"TTS-60";"60236";"Pótkocsi";"6"
"FLIEGL";"7512";"TTS-70";"60237";"Pótkocsi";"6"
"FLIEGL";"7512";"TTS-89";"34924";"Pótkocsi";"6"
"FLIEGL";"7512";"TVV-18000";"34925";"Pótkocsi";"6"
"FLIEGL";"7512";"TWP-170";"34926";"Pótkocsi";"6"
"FLIEGL";"7512";"TWP-180";"34927";"Pótkocsi";"6"
"FLIEGL";"7512";"TWP-60";"34928";"Pótkocsi";"6"
"FLIEGL";"7512";"TWP-70";"34929";"Pótkocsi";"6"
"FLIEGL";"7512";"T-18";"34902";"Pótkocsi";"6"
"FLIEGL";"7512";"ULW 18";"34930";"Pótkocsi";"6"
"FLIEGL";"7512";"ULW 20";"34855";"Pótkocsi";"6"
"FLIEGL";"7512";"ULW 30";"34931";"Pótkocsi";"6"
"FLIEGL";"7512";"UTW-500";"64850";"Pótkocsi";"6"
"FLIEGL";"7512";"VF 10.9";"34932";"Pótkocsi";"6"
"FLIEGL";"7512";"VF 5.0";"64926";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW";"65992";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW (RÉGI)";"34937";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW 10.6";"34933";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW 20.0";"34934";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW 25.0";"34935";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW 25.5";"34936";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW-10.0";"34938";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW-10000";"34939";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW-12000";"34940";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW-14.0";"34941";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW-16.0";"34942";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW-18.0";"34943";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW-18000";"34944";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW-5000";"34945";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW-6.0";"34946";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW-6200";"34947";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW-7.5";"34948";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW-8000";"34950";"Pótkocsi";"6"
"FLIEGL";"7512";"VFW-8.6";"34949";"Pótkocsi";"6"
"FLIEGL";"7512";"WFG 8100";"64614";"Pótkocsi";"6"
"FLIEGL";"7512";"ZKF-100 - VÉRTES";"58014";"Pótkocsi";"6"
"FLIEGL";"7512";"ZKF-140-VÉRTES";"57609";"Pótkocsi";"6"
"FLIEGL";"7512";"ZPS 181";"34951";"Pótkocsi";"6"
"FLIEGL";"7512";"ZPS-100";"34952";"Pótkocsi";"6"
"FLIEGL";"7512";"ZPS-120";"34953";"Pótkocsi";"6"
"FLIEGL";"7512";"ZPS-130";"57398";"Pótkocsi";"6"
"FLIEGL";"7512";"ZPS-180";"34954";"Pótkocsi";"6"
"FLIEGL";"7512";"ZPS-181/K";"34955";"Pótkocsi";"6"
"FLIEGL";"7512";"ZPS-200";"57817";"Pótkocsi";"6"
"FLIEGL";"7512";"ZPS-80";"34956";"Pótkocsi";"6"
"FLIEGL";"7512";"ZPS-90";"34957";"Pótkocsi";"6"
"FLIEGL";"7512";"ZPW-100";"62403";"Pótkocsi";"6"
"FLIEGL";"7512";"ZPW-140";"34958";"Pótkocsi";"6"
"FLIEGL";"7512";"ZSK-180";"34962";"Pótkocsi";"6"
"FLIEGL";"7512";"ZSK-90";"34963";"Pótkocsi";"6"
"FLIEGL";"7512";"ZTS-160";"34959";"Pótkocsi";"6"
"FLIEGL";"7512";"ZTS-200";"34960";"Pótkocsi";"6"
"FLIEGL";"7512";"ZWP-180";"34961";"Pótkocsi";"6"
"FLIEGL TORNÁDÓ";"7513";"DSK-220";"34964";"Pótkocsi";"6"
"FLIPPER";"7514";"LUXUS 500 TL";"34967";"Pótkocsi";"6"
"FLIPPER";"7514";"420";"34965";"Pótkocsi";"6"
"FLIPPER";"7514";"670";"34966";"Pótkocsi";"6"
"FLIRI A G";"12663";"2RF-2000";"64638";"Pótkocsi";"6"
"F.LLI PAGNOSSIN";"12307";"PA 120 RTBP";"61696";"Pótkocsi";"6"
"F.L.M.";"12927";"DA 24";"67077";"Pótkocsi";"6"
"FLOHR-SÖHNE";"7515";"CADOLTO 80/7M-242";"34968";"Pótkocsi";"6"
"FLOOR";"10671";"FLA 10-101";"42868";"Pótkocsi";"6"
"FLOOR";"10671";"FLA 10-181";"61195";"Pótkocsi";"6"
"FLOOR";"10671";"FLA 10-182";"42869";"Pótkocsi";"6"
"FLOOR";"10671";"FLA 19-B";"42870";"Pótkocsi";"6"
"FLOOR";"10671";"FLDUO 25 30H";"42871";"Pótkocsi";"6"
"FLOOR";"10671";"FLO 10-10";"61481";"Pótkocsi";"6"
"FLOOR";"10671";"FLO 12-246";"42872";"Pótkocsi";"6"
"FLOOR";"10671";"FLO 24";"42873";"Pótkocsi";"6"
"FLOOR";"10671";"FLO 7-10S";"42874";"Pótkocsi";"6"
"FLOOR";"10671";"FLSDO 12-27";"42875";"Pótkocsi";"6"
"FLOOR";"10671";"FLWA-12";"64183";"Pótkocsi";"6"
"FLOOR";"10671";"FL0 17-27";"60411";"Pótkocsi";"6"
"FLOOR";"10671";"FL0 17-284";"42867";"Pótkocsi";"6"
"FLOOR";"10671";"FTA 20";"42876";"Pótkocsi";"6"
"FLOOR";"10671";"3388 F10-12-246";"42865";"Pótkocsi";"6"
"FLOOR";"10671";"3614";"42866";"Pótkocsi";"6"
"FLÓRIÁN";"7516";"FM II.2813/J/99";"34969";"Pótkocsi";"6"
"FLÓRING";"7517";"FS-250";"34970";"Pótkocsi";"6"
"FLOTTAIR";"7518";"618";"34971";"Pótkocsi";"6"
"FLOTTAIR";"7518";"638";"34972";"Pótkocsi";"6"
"FLOTTAIR";"7518";"655";"34973";"Pótkocsi";"6"
"FLOTTAIR";"7518";"660";"34974";"Pótkocsi";"6"
"FLOTTMAN ECOARIR";"7519";"F-58";"34975";"Pótkocsi";"6"
"FLOTTMANN";"7520";"638";"34976";"Pótkocsi";"6"
"FLOTTMANN";"7520";"639";"34977";"Pótkocsi";"6"
"FLUCHER";"7521";"2RF-2000";"63466";"Pótkocsi";"6"
"FLUCHER";"7521";"400-100";"34978";"Pótkocsi";"6"
"FLUGGES";"12837";"1RF-650";"66109";"Pótkocsi";"6"
"FLUID";"7522";"CSP 51-K";"34979";"Pótkocsi";"6"
"FLUID";"7522";"CSP-D 30-1-K";"61831";"Pótkocsi";"6"
"FLUID";"7522";"CSP-D1 32-K";"34981";"Pótkocsi";"6"
"FLUID";"7522";"CSP-D1 38-2B";"34982";"Pótkocsi";"6"
"FLUID";"7522";"CSP-D1 46-K";"34983";"Pótkocsi";"6"
"FLUID";"7522";"CSP-D1-32 SB";"34984";"Pótkocsi";"6"
"FLUID";"7522";"CSP-30 SB";"34980";"Pótkocsi";"6"
"FMF HUNGAROTANK";"7523";"HTP BPB";"34988";"Pótkocsi";"6"
"FN";"10673";"M 70";"42877";"Motorkerékpár";"5"
"FN";"10673";"STANDARD 500";"42878";"Motorkerékpár";"5"
"FOBO";"7524";"1000";"64897";"Pótkocsi";"6"
"FOBO";"7524";"950";"34994";"Pótkocsi";"6"
"FÓDI";"7525";"FG-400";"34995";"Pótkocsi";"6"
"FODOR";"7526";"FCS-718";"34996";"Pótkocsi";"6"
"FODOR";"7526";"FI-250";"34997";"Pótkocsi";"6"
"FODOR";"7526";"FK-117";"34998";"Pótkocsi";"6"
"FODOR";"7526";"FK-218";"34999";"Pótkocsi";"6"
"FODOR";"7526";"FL-199";"35000";"Pótkocsi";"6"
"FODOR";"7526";"FP-136";"35001";"Pótkocsi";"6"
"FODOR";"7526";"FP-138";"35002";"Pótkocsi";"6"
"FODOR";"7526";"FP-162";"35003";"Pótkocsi";"6"
"FODOR";"7526";"FP-240";"35004";"Pótkocsi";"6"
"FODOR";"7526";"FT-240";"35005";"Pótkocsi";"6"
"FODOR";"7526";"FZS-400";"35008";"Pótkocsi";"6"
"FODOR";"7526";"FZ-140";"35006";"Pótkocsi";"6"
"FODOR";"7526";"FZ-500";"35007";"Pótkocsi";"6"
"FODOR";"7526";"U-V 960";"35009";"Pótkocsi";"6"
"FODOR JÁNOS";"7527";"FJ-1500";"35014";"Pótkocsi";"6"
"FODOR JÁNOS";"7527";"PS/460";"35015";"Pótkocsi";"6"
"FODOR JÁNOS";"7527";"100-2158";"35010";"Pótkocsi";"6"
"FODOR JÁNOS";"7527";"200-3627";"35011";"Pótkocsi";"6"
"FODOR JÁNOS";"7527";"2007";"35012";"Pótkocsi";"6"
"FODOR JÁNOS";"7527";"2158";"35013";"Pótkocsi";"6"
"FODORNÉ";"7528";"FJ-139";"35016";"Pótkocsi";"6"
"FODORNÉ";"7528";"FJ-148";"35017";"Pótkocsi";"6"
"FODORNÉ";"7528";"FPV-224";"35018";"Pótkocsi";"6"
"FOGELSTA";"7529";"LE-750";"35019";"Pótkocsi";"6"
"FOGELSTA";"7529";"SE-1000";"58887";"Pótkocsi";"6"
"FOGL";"7530";"FA-150";"35020";"Pótkocsi";"6"
"FOGL";"7530";"FA-225";"35021";"Pótkocsi";"6"
"FOGL";"7530";"FA-92";"35022";"Pótkocsi";"6"
"FOGL";"7530";"FL-225";"35023";"Pótkocsi";"6"
"FORCZEK";"7531";"E-128";"35024";"Pótkocsi";"6"
"FORD";"10674";"A";"57247";"Személygépkocsi";"1"
"FORD";"10674";"A 0407";"42886";"Tehergépkocsi";"2"
"FORD";"10674";"A 0410";"42887";"Tehergépkocsi";"2"
"FORD";"10674";"A 0509";"42888";"Tehergépkocsi";"2"
"FORD";"10674";"A 0510";"42889";"Tehergépkocsi";"2"
"FORD";"10674";"AEROSTAR";"42890";"Személygépkocsi";"1"
"FORD";"10674";"AEROSTAR";"42890";"Tehergépkocsi";"2"
"FORD";"10674";"AKFKA";"42891";"Tehergépkocsi";"2"
"FORD";"10674";"ANGLIA";"42892";"Személygépkocsi";"1"
"FORD";"10674";"ANL";"61515";"Személygépkocsi";"1"
"FORD";"10674";"ANL";"61515";"Tehergépkocsi";"2"
"FORD";"10674";"ARCA";"42893";"Személygépkocsi";"1"
"FORD";"10674";"ASPIRE";"42894";"Személygépkocsi";"1"
"FORD";"10674";"AUTOMOM";"42895";"Személygépkocsi";"1"
"FORD";"10674";"AVF";"60123";"Tehergépkocsi";"2"
"FORD";"10674";"AVL";"61441";"Tehergépkocsi";"2"
"FORD";"10674";"B";"62237";"Személygépkocsi";"1"
"FORD";"10674";"B 700";"42896";"Autóbusz";"3"
"FORD";"10674";"B 800 THOMAS";"42897";"Autóbusz";"3"
"FORD";"10674";"BA7";"59350";"Személygépkocsi";"1"
"FORD";"10674";"BNG";"65059";"Személygépkocsi";"1"
"FORD";"10674";"BNP";"62146";"Személygépkocsi";"1"
"FORD";"10674";"BRONCO";"42898";"Személygépkocsi";"1"
"FORD";"10674";"BRONCO";"42898";"Tehergépkocsi";"2"
"FORD";"10674";"BRONCO II";"42899";"Tehergépkocsi";"2"
"FORD";"10674";"BWY";"57431";"Személygépkocsi";"1"
"FORD";"10674";"B4Y";"57394";"Személygépkocsi";"1"
"FORD";"10674";"B5Y";"57422";"Személygépkocsi";"1"
"FORD";"10674";"CAMPEL VAN";"42900";"Személygépkocsi";"1"
"FORD";"10674";"CAPRI";"56556";"Személygépkocsi";"1"
"FORD";"10674";"CARGO";"42910";"Tehergépkocsi";"2"
"FORD";"10674";"CARGO 3220";"42911";"Vontató";"4"
"FORD";"10674";"CAZELL PINTO";"42912";"Személygépkocsi";"1"
"FORD";"10674";"CHASSIS";"56557";"Tehergépkocsi";"2"
"FORD";"10674";"CHAUSSON TRIGANO";"58901";"Személygépkocsi";"1"
"FORD";"10674";"COMET";"42916";"Személygépkocsi";"1"
"FORD";"10674";"CONDOR";"42917";"Tehergépkocsi";"2"
"FORD";"10674";"CONSUL";"42918";"Személygépkocsi";"1"
"FORD";"10674";"CONTOUR";"42919";"Személygépkocsi";"1"
"FORD";"10674";"CORSAIR";"42920";"Személygépkocsi";"1"
"FORD";"10674";"CORTINA";"42921";"Személygépkocsi";"1"
"FORD";"10674";"COUGAR";"42922";"Személygépkocsi";"1"
"FORD";"10674";"CROWN VICTORIA";"42923";"Személygépkocsi";"1"
"FORD";"10674";"CUSTON";"42924";"Tehergépkocsi";"2"
"FORD";"10674";"D";"60533";"Személygépkocsi";"1"
"FORD";"10674";"D 10.112V";"42925";"Tehergépkocsi";"2"
"FORD";"10674";"D 1314 SCRIM";"42926";"Tehergépkocsi";"2"
"FORD";"10674";"D 300";"42927";"Tehergépkocsi";"2"
"FORD";"10674";"D 500";"42928";"Tehergépkocsi";"2"
"FORD";"10674";"D 607";"42929";"Tehergépkocsi";"2"
"FORD";"10674";"D 610";"42930";"Tehergépkocsi";"2"
"FORD";"10674";"D 707";"42931";"Tehergépkocsi";"2"
"FORD";"10674";"DAW";"66922";"Személygépkocsi";"1"
"FORD";"10674";"DAYBREAK";"61739";"Tehergépkocsi";"2"
"FORD";"10674";"DA3";"42932";"Személygépkocsi";"1"
"FORD";"10674";"DA3-V";"62931";"Tehergépkocsi";"2"
"FORD";"10674";"DA3-VAN";"61222";"Tehergépkocsi";"2"
"FORD";"10674";"DB3";"57230";"Személygépkocsi";"1"
"FORD";"10674";"DINO 2000";"42933";"Személygépkocsi";"1"
"FORD";"10674";"DM2";"56905";"Személygépkocsi";"1"
"FORD";"10674";"DM2";"56905";"Tehergépkocsi";"2"
"FORD";"10674";"DNW";"59765";"Személygépkocsi";"1"
"FORD";"10674";"DOKA TSD";"60422";"Tehergépkocsi";"2"
"FORD";"10674";"D5NN";"66030";"Vontató";"4"
"FORD";"10674";"E 150";"56558";"Személygépkocsi";"1"
"FORD";"10674";"E 250";"42936";"Személygépkocsi";"1"
"FORD";"10674";"E 350";"56559";"Autóbusz";"3"
"FORD";"10674";"E 350";"56559";"Személygépkocsi";"1"
"FORD";"10674";"E 350";"56559";"Tehergépkocsi";"2"
"FORD";"10674";"E 450 COMM CUTAWAY";"42943";"Személygépkocsi";"1"
"FORD";"10674";"EAL";"62324";"Tehergépkocsi";"2"
"FORD";"10674";"EAS";"61716";"Tehergépkocsi";"2"
"FORD";"10674";"ECONOLINE";"42944";"Személygépkocsi";"1"
"FORD";"10674";"ECONOLINE";"42944";"Tehergépkocsi";"2"
"FORD";"10674";"ECONOM";"42945";"Tehergépkocsi";"2"
"FORD";"10674";"ECONOVAN";"42946";"Autóbusz";"3"
"FORD";"10674";"ECONOVAN";"42946";"Személygépkocsi";"1"
"FORD";"10674";"ECOVAN";"42947";"Személygépkocsi";"1"
"FORD";"10674";"ECOVAN";"42947";"Tehergépkocsi";"2"
"FORD";"10674";"ECT";"63195";"Személygépkocsi";"1"
"FORD";"10674";"EDDEHS P 120";"61852";"Személygépkocsi";"1"
